Message Type,Received UTC,MMSI,Ship Name,Latitude,Longitude,Speed Over Ground (knots),Course Over Ground,True Heading,Timestamp (sec),Is Valid,Call Sign,Destination,Ship Type,Dimensions
StandardClassBPositionReport,15:02:55,271040603,ALCATRAZ,37.03562,27.42834,0.0,0.0,511.0,53.0,True,,,,
ShipStaticData,15:02:55,237808200,PHIVOS,37.9105,23.59317,,,,,True,SXUU,PIRAEUS-AEGINA-PIRAE,60.0,"{'A': 21, 'B': 79, 'C': 14, 'D': 3}"
ShipStaticData,15:02:55,207224000,ALEXANDRA,43.20049,27.88911,,,,,True,LZPB,VARNA (BULGARIA),52.0,"{'A': 8, 'B': 11, 'C': 3, 'D': 4}"
AidsToNavigationReport,15:02:55,992476459,,44.32722,9.14639,,,,60.0,True,,,0.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}"
PositionReport,15:02:55,533110202,OCEAN EMERALD,44.31644,8.49405,0.1,289.1,130.0,54.0,True,,,,
PositionReport,15:02:55,428043000,ILAN I,32.82176,35.00739,0.0,8.3,511.0,63.0,True,,,,
PositionReport,15:02:55,310872000,CELESTYAL DISCOVERY,36.45088,28.23428,6.2,13.9,8.0,53.0,True,,,,
PositionReport,15:02:55,256004498,,37.94158,23.67047,0.0,360.0,511.0,53.0,True,,,,
PositionReport,15:02:55,255916096,IVER BEST,37.93605,-0.28355,13.0,214.6,212.0,42.0,True,,,,
PositionReport,15:02:55,247489500,PIERO SANGIOVANNI,38.0103,12.50302,8.1,37.0,511.0,53.0,True,,,,
PositionReport,15:02:55,650000000,,36.54827,1.34339,0.0,0.0,0.0,60.0,True,,,,
PositionReport,15:02:55,319078200,VEGA,44.40891,8.92104,0.0,191.7,340.0,51.0,True,,,,
PositionReport,15:02:55,376055000,SPIRIT OF THE C'S,43.53651,7.06061,0.0,1.4,176.0,53.0,True,,,,
PositionReport,15:02:55,370236000,ON PEACE,36.92763,0.77498,11.9,75.0,74.0,60.0,True,,,,
PositionReport,15:02:55,219726000,BRISBANE MAERSK,40.71529,1.8749,0.2,295.9,234.0,54.0,True,,,,
PositionReport,15:02:55,248045000,ALI CAN BAYRAK,37.0119,-0.87153,8.9,61.0,58.0,60.0,True,,,,
PositionReport,15:02:55,518999001,SCORPION,39.60452,2.34918,13.1,206.2,208.0,54.0,True,,,,
PositionReport,15:02:55,620800295,ZEG GLORY,34.89436,33.68275,5.8,328.1,511.0,52.0,True,,,,
PositionReport,15:02:55,563002100,MAERSK SIRAC,37.1648,11.88775,13.2,294.3,294.0,52.0,True,,,,
StaticDataReport,15:02:55,247205680,NYXONE,41.74817,12.26321,,,,,True,,,,
ShipStaticData,15:02:55,244976000,MISSISSIPPIBORG,37.6029,2.81388,,,,,True,PCGZ,FRNTE,70.0,"{'A': 124, 'B': 10, 'C': 7, 'D': 9}"
BaseStationReport,15:02:55,2014012,TALE,41.69006,19.58878,,,,,True,,,,
PositionReport,15:02:55,636025507,MSC HORTENSE,43.8484,9.90618,0.5,138.7,10.0,52.0,True,,,,
StandardClassBPositionReport,15:02:55,271044953,,37.03371,27.4275,0.0,0.0,511.0,53.0,True,,,,
StandardClassBPositionReport,15:02:55,338335355,,39.55731,2.63695,7.2,275.7,511.0,54.0,True,,,,
StandardClassBPositionReport,15:02:55,225995520,LA CAPRICHOSA,39.39551,-0.32281,0.5,360.0,511.0,53.0,True,,,,
StandardClassBPositionReport,15:02:55,232066445,,43.5396,7.16508,10.3,61.9,63.0,53.0,True,,,,
StandardClassBPositionReport,15:02:55,232047166,MELISSA,34.66705,33.04055,0.1,360.0,511.0,53.0,True,,,,
StandardClassBPositionReport,15:02:55,254989000,VINTAG,43.7339,7.42643,0.0,360.0,77.0,52.0,True,,,,
PositionReport,15:02:56,224166440,HAROMAR SEGUNDO,36.53915,-4.61702,0.0,0.0,511.0,55.0,True,,,,
StandardClassBPositionReport,15:02:56,227441930,ORION,41.04738,13.74967,2.8,331.7,511.0,10.0,True,,,,
