MMSI,Ship Name,lat,lon,low_confidence,n_pings,score,is_anomalous,flags,reason
1193046,NAUTICAST,37.03302,27.42871,False,11,1.35,False,,
2424103,QUILATES,35.28347,-3.6785,True,1,,,,only 1 ping(s) - not enough data to score reliably
91800040,GODWYN NO15,35.92803,16.05734,True,2,,,,only 2 ping(s) - not enough data to score reliably
109110432,EX NIHILO BOUEE 2,44.63537,-1.29837,False,4,0.98,False,,
201000058,ARIA-T,40.86478,18.8274,True,1,,,,only 1 ping(s) - not enough data to score reliably
201000099,MARE ADRIATIK,41.46993,19.38164,False,8,0.59,False,,
201000128,AUCLA,41.3864,19.25237,False,6,1.29,False,,
201005555,MATTEO&MELISSA,40.81554,18.85662,False,3,0.35,False,,
201008855,CELEPIJA V,40.90087,18.83532,True,1,,,,only 1 ping(s) - not enough data to score reliably
201100084,SAN BENIGNO,35.93829,0.07964,True,2,,,,only 2 ping(s) - not enough data to score reliably
201100092,,41.31385,19.45916,True,2,,,,only 2 ping(s) - not enough data to score reliably
201100124,RAFAELO,36.25978,34.72922,False,4,1.31,False,signal gap of 793s,
201100136,KRISTI 1,41.30349,19.45342,False,3,1.4,False,signal gap of 941s,
201100147,ADRIATIK,41.30621,19.45076,False,6,0.89,False,,
201100179,DYRRAH,41.37398,19.41734,True,1,,,,only 1 ping(s) - not enough data to score reliably
201100180,DYRRAH II,41.37404,19.41747,False,11,1.0,False,,
201100182,EPIDAMN II,41.30597,19.45092,False,13,1.29,False,,
201100435,SERXHO,40.92056,18.93005,False,12,0.64,False,,
201110301,SHPRESA II,40.99579,18.85404,False,3,0.3,False,,
201777777,UNIVERSITETI DURRES,41.3134,19.43418,False,3,1.29,False,signal gap of 927s,
203245290,HAPPY DAY,37.90601,20.70649,False,3,2.11,False,signal gap of 1437s,
203245405,AMICI DEL MARE 2,37.66206,24.24219,False,3,0.57,False,,
203246938,BAILANDO,45.53601,13.65448,True,1,,,,only 1 ping(s) - not enough data to score reliably
203246981,BELLA II,38.36147,21.4253,True,1,,,,only 1 ping(s) - not enough data to score reliably
203246999,PAS DE DEUX,37.30133,23.14375,False,5,0.67,False,,
203247847,SEABLADE,44.53327,14.467,True,2,,,,only 2 ping(s) - not enough data to score reliably
203248550,BAGHIRA,45.53644,13.65591,False,4,1.35,False,signal gap of 887s,
203256200,PANNIKE,45.7002,13.14912,False,3,0.67,False,,
203291200,INSIEME,38.033,-0.53937,False,8,0.7,False,,
203505100,SCARAMOUCHE II,39.55916,2.62721,True,2,,,,only 2 ping(s) - not enough data to score reliably
